"url","title","original_format","online_formats","subjects","date","description","contributors","locations","partof","access_restricted","id","image_url","thumb_url","resource_count","resource_url","filename"
"https://www.loc.gov/item/ihas.200153791/","[ Martha Graham and ensemble in Appalachian spring]","photo, print, drawing","image","","","photograph |   1 photograph: b&w, 7 in. x 9 in. |   Photographer unknown. (General).   Photograph (Form).","","","music division;appalachian spring;martha graham at the library of congress;performing arts encyclopedia","false","ihas.200153791","https://lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200153791/0001.tif/4057#h=3252&w=4057","https://lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200153791/0001.tif/253","1","https://lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200153791/0001.tif/4057#h=3252&w=4057","ihas.200153791-0.jpg"
"https://www.loc.gov/item/ihas.200153793/","[ Martha Graham and ensemble in Appalachian spring]","photo, print, drawing","image","","","photograph |   1 photograph: b&w, 7 in. x 9 in. |   Photographer unknown. (General).   Photograph (Form).","","","music division;appalachian spring;martha graham at the library of congress;performing arts encyclopedia","false","ihas.200153793","https://lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200153793/0001.tif/4055#h=3252&w=4055","https://lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200153793/0001.tif/253","1","https://lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200153793/0001.tif/4055#h=3252&w=4055","ihas.200153793-0.jpg"
"https://www.loc.gov/item/ihas.200153794/","[ Martha Graham and ensemble in Appalachian spring]","photo, print, drawing","image","","","photograph |   1 photograph: b&w, 7 in. x 9 in. |   Photographer unknown. (General).   Photograph (Form).","","","music division;appalachian spring;martha graham at the library of congress;performing arts encyclopedia","false","ihas.200153794","https://lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200153794/0001.tif/4098#h=3270&w=4098","https://lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200153794/0001.tif/256","1","https://lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200153794/0001.tif/4098#h=3270&w=4098","ihas.200153794-0.jpg"
"https://www.loc.gov/item/ihas.200153798/","[ Martha Graham at first performance of Appalachian spring]","photo, print, drawing","image","","","photograph |   1 photograph: b&w, 8 in. x 10 in. |   Photograph (Form).","","","music division;appalachian spring;martha graham at the library of congress;performing arts encyclopedia","false","ihas.200153798","https://lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200153798/0001.tif/4074#h=3192&w=4074","https://lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200153798/0001.tif/254","1","https://lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200153798/0001.tif/4074#h=3192&w=4074","ihas.200153798-0.jpg"
"https://www.loc.gov/item/ihas.200153801/","[ Martha Graham and May O'Donnell in Heriodiade, No. 1]","photo, print, drawing","image","","","photograph |   1 photograph: b&w, 8 in. x 10 in. |   Photographer unknown. (General).   Photograph (Form).","","","music division;martha graham at the library of congress;performing arts encyclopedia","false","ihas.200153801","https://lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200153801/0001.tif/3382#h=4016&w=3382","https://lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200153801/0001.tif/211","1","https://lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200153801/0001.tif/3382#h=4016&w=3382","ihas.200153801-0.jpg"
"https://www.loc.gov/item/ihas.200153802/","[ Martha Graham and May O'Donnell in Heriodiade, No. 2]","photo, print, drawing","image","","","photograph |   1 photograph: b&w, 8 in. x 10 in. |   Photographer unknown. (General).   Reproduced with permission of Martha Graham Resources, a division of The Martha Graham Center of Contemporary Dance, www.marthagraham.org. (Copyright Notice).   Photograph (Form).","","","music division;martha graham at the library of congress;performing arts encyclopedia","false","ihas.200153802","https://lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200153802/0001.tif/3288#h=3992&w=3288","https://lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200153802/0001.tif/205","1","https://lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200153802/0001.tif/3288#h=3992&w=3288","ihas.200153802-0.jpg"
"https://www.loc.gov/item/ihas.200154211/","[ Frontier, No. 2]","photo, print, drawing","image","frontiers (perspective no. 1);perspectives: frontier and marching song;frontier","","photograph |   1 photograph : b&w ; 3 x 5 in. |   Photographer unknown. (General).   Reproduced with permission of Katherine Duke. (Copyright Notice).   Photograph (Form).","graham, martha","","music division;martha graham at the library of congress;performing arts encyclopedia","false","ihas.200154211","https://lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200154211/0001.tif/1600#h=2400&w=1600","https://lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200154211/0001.tif/200","1","https://lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200154211/0001.tif/1600#h=2400&w=1600","ihas.200154211-0.jpg"
"https://www.loc.gov/item/ihas.200153710/","[ Martha Graham in Letter to the World]","photo, print, drawing","image","","","photograph |   1 photograph: b&w, 8 in. x 10 in. |   Photograph (Form).","remy","","music division;martha graham at the library of congress;performing arts encyclopedia","false","ihas.200153710","https://lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200153710/0001.tif/3376#h=4104&w=3376","https://lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200153710/0001.tif/211","1","https://lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200153710/0001.tif/3376#h=4104&w=3376","ihas.200153710-0.jpg"
"https://www.loc.gov/item/ihas.200153711/","[ Martha Graham and Merce Cunningham in Letter to the World]","photo, print, drawing","image","letter to the world","","photograph |   1 photograph: b&w, 8 in. x 10 in. |   scene: ""Dear March, come in"" (General).   Reproduced with permission of Janet Morgan/The Barbara Morgan Archive.  For further information e-mail morganarchives@gmail.com (Copyright Notice).   Reproduced with permission of Katherine Duke. (Copyright Notice).   Photograph (Form).","morgan, barbara","","music division;martha graham at the library of congress;performing arts encyclopedia","false","ihas.200153711","https://lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200153711/0001.tif/3918#h=2951&w=3918","https://lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200153711/0001.tif/244","1","https://lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200153711/0001.tif/3918#h=2951&w=3918","ihas.200153711-0.jpg"
"https://www.loc.gov/item/ihas.200153712/","[ Martha Graham, (May O'Donnell?), and Erick Hawkins in Letter to the World]","photo, print, drawing","image","letter to the world","","photograph |   1 photograph: b&w, 8 in. x 10 in. |   Reproduced with permission of Katherine Duke. (Copyright Notice).   Reproduced with permission of Janet Morgan/The Barbara Morgan Archive.  For further information e-mail morganarchives@gmail.com (Copyright Notice).   Photograph (Form).","morgan, barbara","","music division;martha graham at the library of congress;performing arts encyclopedia","false","ihas.200153712","https://lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200153712/0001.tif/3330#h=4096&w=3330","https://lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200153712/0001.tif/208","1","https://lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200153712/0001.tif/3330#h=4096&w=3330","ihas.200153712-0.jpg"
"https://www.loc.gov/item/ihas.200153713/","[ Ensemble in Letter to the world]","photo, print, drawing","image","letter to the world","","photograph |   1 photograph: b&w, 8 in. x 10 in. |   Photographer unknown. (General).   Reproduced with permission of Katherine Duke. (Copyright Notice).   Photograph (Form).","","","music division;martha graham at the library of congress;performing arts encyclopedia","false","ihas.200153713","https://lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200153713/0001.tif/3776#h=2400&w=3776","https://lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200153713/0001.tif/236","1","https://lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200153713/0001.tif/3776#h=2400&w=3776","ihas.200153713-0.jpg"
